episode,reward
1,48.0
2,18.0
3,18.0
4,20.0
5,24.0
6,16.0
7,16.0
8,25.0
9,20.0
10,30.0
11,12.0
12,20.0
13,20.0
14,11.0
15,26.0
16,36.0
17,16.0
18,23.0
19,26.0
20,21.0
21,25.0
22,17.0
23,15.0
24,39.0
25,11.0
26,22.0
27,20.0
28,20.0
29,13.0
30,12.0
31,30.0
32,21.0
33,23.0
34,26.0
35,43.0
36,11.0
37,19.0
38,33.0
39,11.0
40,37.0
41,21.0
42,20.0
43,36.0
44,23.0
45,17.0
46,15.0
47,12.0
48,26.0
49,25.0
50,32.0
51,12.0
52,17.0
53,15.0
54,14.0
55,64.0
56,26.0
57,14.0
58,21.0
59,20.0
60,34.0
61,16.0
62,28.0
63,16.0
64,17.0
65,45.0
66,24.0
67,14.0
68,15.0
69,15.0
70,18.0
71,19.0
72,37.0
73,33.0
74,19.0
75,14.0
76,19.0
77,15.0
78,37.0
79,19.0
80,24.0
81,20.0
82,21.0
83,10.0
84,10.0
85,9.0
86,17.0
87,20.0
88,48.0
89,58.0
90,23.0
91,47.0
92,11.0
93,37.0
94,19.0
95,15.0
96,23.0
97,19.0
98,14.0
99,27.0
100,40.0
101,43.0
102,22.0
103,35.0
104,14.0
105,15.0
106,21.0
107,48.0
108,28.0
109,10.0
110,14.0
111,19.0
112,11.0
113,16.0
114,36.0
115,12.0
116,17.0
117,20.0
118,20.0
119,22.0
120,27.0
121,17.0
122,23.0
123,110.0
124,16.0
125,30.0
126,15.0
127,13.0
128,18.0
129,45.0
130,20.0
131,15.0
132,19.0
133,20.0
134,12.0
135,51.0
136,14.0
137,12.0
138,20.0
139,30.0
140,15.0
141,17.0
142,26.0
143,11.0
144,28.0
145,25.0
146,22.0
147,16.0
148,14.0
149,42.0
150,14.0
151,14.0
152,17.0
153,13.0
154,14.0
155,89.0
156,71.0
157,14.0
158,16.0
159,12.0
160,20.0
161,12.0
162,12.0
163,14.0
164,13.0
165,68.0
166,12.0
167,13.0
168,15.0
169,15.0
170,25.0
171,35.0
172,15.0
173,12.0
174,49.0
175,27.0
176,21.0
177,27.0
178,51.0
179,26.0
180,14.0
181,12.0
182,18.0
183,14.0
184,22.0
185,46.0
186,26.0
187,21.0
188,12.0
189,14.0
190,24.0
191,24.0
192,42.0
193,13.0
194,28.0
195,34.0
196,13.0
197,11.0
198,66.0
199,13.0
200,21.0
201,42.0
202,56.0
203,24.0
204,38.0
205,14.0
206,18.0
207,40.0
208,25.0
209,61.0
210,17.0
211,27.0
212,59.0
213,24.0
214,55.0
215,18.0
216,27.0
217,17.0
218,31.0
219,33.0
220,14.0
221,71.0
222,72.0
223,71.0
224,25.0
225,13.0
226,14.0
227,43.0
228,15.0
229,26.0
230,35.0
231,24.0
232,22.0
233,16.0
234,10.0
235,13.0
236,15.0
237,13.0
238,76.0
239,80.0
240,37.0
241,15.0
242,14.0
243,42.0
244,41.0
245,12.0
246,13.0
247,33.0
248,14.0
249,46.0
250,44.0
251,24.0
252,10.0
253,77.0
254,15.0
255,13.0
256,69.0
257,15.0
258,14.0
259,16.0
260,20.0
261,45.0
262,20.0
263,25.0
264,22.0
265,51.0
266,60.0
267,49.0
268,11.0
269,20.0
270,14.0
271,25.0
272,32.0
273,37.0
274,13.0
275,90.0
276,28.0
277,56.0
278,40.0
279,13.0
280,14.0
281,42.0
282,11.0
283,29.0
284,23.0
285,15.0
286,43.0
287,18.0
288,37.0
289,53.0
290,140.0
291,30.0
292,18.0
293,48.0
294,54.0
295,81.0
296,29.0
297,15.0
298,17.0
299,88.0
300,17.0
301,11.0
302,14.0
303,83.0
304,88.0
305,10.0
306,19.0
307,33.0
308,13.0
309,17.0
310,13.0
311,16.0
312,23.0
313,13.0
314,19.0
315,84.0
316,51.0
317,15.0
318,22.0
319,41.0
320,43.0
321,42.0
322,87.0
323,9.0
324,77.0
325,139.0
326,12.0
327,22.0
328,15.0
329,12.0
330,35.0
331,13.0
332,58.0
333,32.0
334,19.0
335,17.0
336,184.0
337,13.0
338,15.0
339,81.0
340,19.0
341,15.0
342,16.0
343,20.0
344,26.0
345,28.0
346,21.0
347,24.0
348,18.0
349,66.0
350,22.0
351,37.0
352,18.0
353,21.0
354,14.0
355,13.0
356,21.0
357,25.0
358,21.0
359,12.0
360,13.0
361,46.0
362,23.0
363,42.0
364,80.0
365,14.0
366,15.0
367,13.0
368,40.0
369,18.0
370,12.0
371,12.0
372,49.0
373,24.0
374,95.0
375,42.0
376,31.0
377,87.0
378,14.0
379,51.0
380,15.0
381,15.0
382,16.0
383,14.0
384,139.0
385,15.0
386,23.0
387,20.0
388,30.0
389,24.0
390,23.0
391,13.0
392,30.0
393,149.0
394,15.0
395,70.0
396,34.0
397,25.0
398,45.0
399,15.0
400,21.0
401,105.0
402,39.0
403,43.0
404,32.0
405,14.0
406,14.0
407,132.0
408,46.0
409,64.0
410,52.0
411,27.0
412,49.0
413,83.0
414,24.0
415,14.0
416,29.0
417,12.0
418,14.0
419,23.0
420,11.0
421,18.0
422,14.0
423,53.0
424,31.0
425,27.0
426,17.0
427,15.0
428,13.0
429,41.0
430,107.0
431,16.0
432,15.0
433,37.0
434,42.0
435,16.0
436,19.0
437,54.0
438,23.0
439,19.0
440,17.0
441,50.0
442,110.0
443,14.0
444,19.0
445,12.0
446,14.0
447,15.0
448,29.0
449,60.0
450,16.0
451,28.0
452,26.0
453,76.0
454,19.0
455,14.0
456,15.0
457,11.0
458,13.0
459,24.0
460,14.0
461,87.0
462,24.0
463,104.0
464,12.0
465,46.0
466,99.0
467,92.0
468,18.0
469,13.0
470,14.0
471,11.0
472,43.0
473,15.0
474,94.0
475,9.0
476,12.0
477,22.0
478,125.0
479,114.0
480,14.0
481,12.0
482,32.0
483,64.0
484,12.0
485,14.0
486,15.0
487,44.0
488,128.0
489,88.0
490,25.0
491,86.0
492,15.0
493,47.0
494,21.0
495,98.0
496,37.0
497,16.0
498,62.0
499,147.0
500,19.0
