episode,reward,steps,epsilon,success
1,-52.0,45,0.995,1
2,-66.0,32,0.990025,1
3,-259.0,144,0.985074875,1
4,-175.0,87,0.9801495006250001,1
5,-243.0,92,0.9752487531218751,1
6,-40.0,15,0.9703725093562657,1
7,-82.0,39,0.9655206468094844,1
8,-44.0,28,0.960693043575437,1
9,-203.0,115,0.9558895783575597,1
10,-165.0,77,0.9511101304657719,1
11,3.0,8,0.946354579813443,1
12,-80.0,28,0.9416228069143757,1
13,-77.0,34,0.9369146928798039,1
14,-419.0,151,0.9322301194154049,1
15,-7.0,18,0.9275689688183278,1
16,-13.0,24,0.9229311239742362,1
17,-19.0,12,0.918316468354365,1
18,-40.0,33,0.9137248860125932,1
19,-18.0,20,0.9091562615825302,1
20,-86.0,25,0.9046104802746175,1
21,-19.0,21,0.9000874278732445,1
22,-5.0,16,0.8955869907338783,1
23,-77.0,34,0.8911090557802088,1
24,-133.0,63,0.8866535105013078,1
25,-18.0,11,0.8822202429488013,1
26,-29.0,13,0.8778091417340573,1
27,-79.0,36,0.8734200960253871,1
28,-36.0,20,0.8690529955452602,1
29,-8.0,10,0.8647077305675338,1
30,-220.0,87,0.8603841919146962,1
31,-114.0,71,0.8560822709551227,1
32,-71.0,55,0.851801859600347,1
33,-38.0,13,0.8475428503023453,1
34,-66.0,23,0.8433051360508336,1
35,-9.0,20,0.8390886103705794,1
36,-79.0,72,0.8348931673187264,1
37,-65.0,40,0.8307187014821328,1
38,-22.0,15,0.8265651079747222,1
39,-38.0,31,0.8224322824348486,1
40,-26.0,10,0.8183201210226743,1
41,-17.0,19,0.8142285204175609,1
42,-152.0,55,0.810157377815473,1
43,0.0,11,0.8061065909263957,1
44,-35.0,19,0.8020760579717637,1
45,-24.0,17,0.798065677681905,1
46,1.0,10,0.7940753492934954,1
47,-3.0,14,0.7901049725470279,1
48,-24.0,17,0.7861544476842928,1
49,-53.0,37,0.7822236754458713,1
50,-101.0,31,0.778312557068642,1
51,-7.0,9,0.7744209942832988,1
52,-36.0,29,0.7705488893118823,1
53,-24.0,17,0.7666961448653229,1
54,-24.0,17,0.7628626641409962,1
55,-42.0,26,0.7590483508202912,1
56,4.0,7,0.7552531090661897,1
57,1.0,10,0.7514768435208588,1
58,-24.0,17,0.7477194593032545,1
59,2.0,9,0.7439808620067382,1
60,-13.0,15,0.7402609576967045,1
61,-65.0,49,0.736559652908221,1
62,-37.0,39,0.7328768546436799,1
63,5.0,6,0.7292124703704616,1
64,-9.0,20,0.7255664080186093,1
65,-54.0,29,0.7219385759785162,1
66,-20.0,22,0.7183288830986236,1
67,-2.0,13,0.7147372386831305,1
68,-6.0,8,0.7111635524897149,1
69,-9.0,11,0.7076077347272662,1
70,-11.0,13,0.7040696960536299,1
71,-23.0,16,0.7005493475733617,1
72,-53.0,28,0.697046600835495,1
73,-37.0,30,0.6935613678313175,1
74,-25.0,18,0.6900935609921609,1
75,-65.0,31,0.6866430931872001,1
76,5.0,6,0.6832098777212641,1
77,-9.0,11,0.6797938283326578,1
